shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
FifthAveNB_shape,0,47.612046,-122.336960
FifthAveNB_shape,1,47.612633,-122.337483
FifthAveNB_shape,2,47.612824,-122.337708
FifthAveNB_shape,3,47.613116,-122.338178
FifthAveNB_shape,4,47.614074,-122.339804
FifthAveNB_shape,5,47.616949,-122.344679
FifthAveNB_shape,6,47.618262,-122.346893
FifthAveNB_shape,7,47.618398,-122.347092
FifthAveNB_shape,8,47.618482,-122.347205
FifthAveNB_shape,9,47.618684,-122.347401
FifthAveNB_shape,10,47.618832,-122.347513
FifthAveNB_shape,11,47.619178,-122.347669
FifthAveNB_shape,12,47.619316,-122.347693
FifthAveNB_shape,13,47.619902,-122.347720
FifthAveNB_shape,14,47.620391,-122.347708
FifthAveNB_shape,15,47.620687,-122.347732
FifthAveNB_shape,16,47.620851,-122.347803
FifthAveNB_shape,17,47.621002,-122.347917
FifthAveNB_shape,18,47.621134,-122.348118
FifthAveNB_shape,19,47.621219,-122.348323
FifthAveNB_shape,20,47.621274,-122.348599
FifthAveNB_shape,21,47.621283,-122.348677
FifthAveNB_shape,22,47.621263,-122.349955
FifthAveSB_shape,0,47.621263,-122.349955
FifthAveSB_shape,1,47.621283,-122.348677
FifthAveSB_shape,2,47.621274,-122.348599
FifthAveSB_shape,3,47.621219,-122.348323
FifthAveSB_shape,4,47.621134,-122.348118
FifthAveSB_shape,5,47.621002,-122.347917
FifthAveSB_shape,6,47.620851,-122.347803
FifthAveSB_shape,7,47.620687,-122.347732
FifthAveSB_shape,8,47.620391,-122.347708
FifthAveSB_shape,9,47.619902,-122.347720
FifthAveSB_shape,10,47.619316,-122.347693
FifthAveSB_shape,11,47.619178,-122.347669
FifthAveSB_shape,12,47.618832,-122.347513
FifthAveSB_shape,13,47.618684,-122.347401
FifthAveSB_shape,14,47.618482,-122.347205
FifthAveSB_shape,15,47.618398,-122.347092
FifthAveSB_shape,16,47.618262,-122.346893
FifthAveSB_shape,17,47.616949,-122.344679
FifthAveSB_shape,18,47.614074,-122.339804
FifthAveSB_shape,19,47.613116,-122.338178
FifthAveSB_shape,20,47.612824,-122.337708
FifthAveSB_shape,21,47.612633,-122.337483
FifthAveSB_shape,22,47.612046,-122.336960
