trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,departure_buffer
NB_event_s2100e0000_0005,WL,00:05:00,00:05:00,0,1,0
NB_event_s2100e0000_0005,SC,00:08:00,00:08:00,0,2,0
NB_event_s2100e0000_2105,WL,21:05:00,21:05:00,0,1,0
NB_event_s2100e0000_2105,SC,21:08:00,21:08:00,0,2,0
NB_event_s2100e0000_2115,WL,21:15:00,21:15:00,0,1,0
NB_event_s2100e0000_2115,SC,21:18:00,21:18:00,0,2,0
NB_event_s2100e0000_2125,WL,21:25:00,21:25:00,0,1,0
NB_event_s2100e0000_2125,SC,21:28:00,21:28:00,0,2,0
NB_event_s2100e0000_2135,WL,21:35:00,21:35:00,0,1,0
NB_event_s2100e0000_2135,SC,21:38:00,21:38:00,0,2,0
NB_event_s2100e0000_2145,WL,21:45:00,21:45:00,0,1,0
NB_event_s2100e0000_2145,SC,21:48:00,21:48:00,0,2,0
NB_event_s2100e0000_2155,WL,21:55:00,21:55:00,0,1,0
NB_event_s2100e0000_2155,SC,21:58:00,21:58:00,0,2,0
NB_event_s2100e0000_2205,WL,22:05:00,22:05:00,0,1,0
NB_event_s2100e0000_2205,SC,22:08:00,22:08:00,0,2,0
NB_event_s2100e0000_2215,WL,22:15:00,22:15:00,0,1,0
NB_event_s2100e0000_2215,SC,22:18:00,22:18:00,0,2,0
NB_event_s2100e0000_2225,WL,22:25:00,22:25:00,0,1,0
NB_event_s2100e0000_2225,SC,22:28:00,22:28:00,0,2,0
NB_event_s2100e0000_2235,WL,22:35:00,22:35:00,0,1,0
NB_event_s2100e0000_2235,SC,22:38:00,22:38:00,0,2,0
NB_event_s2100e0000_2245,WL,22:45:00,22:45:00,0,1,0
NB_event_s2100e0000_2245,SC,22:48:00,22:48:00,0,2,0
NB_event_s2100e0000_2255,WL,22:55:00,22:55:00,0,1,0
NB_event_s2100e0000_2255,SC,22:58:00,22:58:00,0,2,0
NB_event_s2100e0000_2305,WL,23:05:00,23:05:00,0,1,0
NB_event_s2100e0000_2305,SC,23:08:00,23:08:00,0,2,0
NB_event_s2100e0000_2315,WL,23:15:00,23:15:00,0,1,0
NB_event_s2100e0000_2315,SC,23:18:00,23:18:00,0,2,0
NB_event_s2100e0000_2325,WL,23:25:00,23:25:00,0,1,0
NB_event_s2100e0000_2325,SC,23:28:00,23:28:00,0,2,0
