service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LLR_2026-02-14_Jan29_Q12026_CLC_SimSvc_Saturady,0,0,0,0,0,1,0,20260214,20260327
LLR_2026-02-14_Jan29_Q12026_CLC_SimSvc_Sunday,0,0,0,0,0,0,1,20260214,20260327
LLR_2026-03-09_02-19-2026_Link_Pinehurst-NB_CLCSimSvc_Weekday,1,1,1,1,1,0,0,20260309,20260317
LLR_2026-03-18_Oct14_Link_Fall2025_FWLE_v2_Weekday,1,1,1,1,1,0,0,20260318,20260320
LLR_2026-03-23_Jan29_Link_Q12026_CLC_SimSvc_Weekday,1,1,1,1,1,0,0,20260323,20260327
LLR_2026-03-28_Jan29_Q12026_CLC_SimSvc_Saturady,0,0,0,0,0,1,0,20260328,20260328
LLR_2026-03-29_Jan29_Spring26_CLCrev_Saturday,0,0,0,0,0,1,0,20260329,20260828
LLR_2026-03-29_Jan29_Spring26_CLCrev_Sunday,0,0,0,0,0,0,1,20260329,20260828
LLR_2026-03-29_Jan29_Spring26_CLCrev_Weekday,1,1,1,1,1,0,0,20260329,20260828
LLR_BusBridge202603_21-22-Sa,0,0,0,0,0,1,0,20260321,20260322
LLR_BusBridge202603_21-22-Su,0,0,0,0,0,0,1,20260321,20260322
SNDR_Fall2024_Weekday,1,1,1,1,1,0,0,20260202,20260327
SNDR_Spring2026_Weekday,1,1,1,1,1,0,0,20260330,20260828
TLINE_2026-01-24_TLink_Saturday_ForGTFS_09162023_12mins,0,0,0,0,0,1,0,20260124,20260828
TLINE_2026-01-24_TLink_Sunday_ForGTFS_09162023_20mins,0,0,0,0,0,0,1,20260124,20260828
TLINE_2026-01-26_TLink_Weekday_forGTFS_09162023_12mins,1,1,1,1,1,0,0,20260126,20260828
