Type,Chain,REF,Route,Direction,Order in route,Order in chain,Label,Note,Lat,Lng
Light rail,Rail W,LED201,1,Northbound,0,0,Federal Way Downtown,,47.3174,-122.3031
Light rail,Rail W,LED202,1,Northbound,1,1,,,,
Light rail,Rail W,LED203,1,Northbound,2,2,Star Lake,,47.3293,-122.2963
Light rail,Rail W,LED204,1,Northbound,3,3,,,,
Light rail,Rail W,LED205,1,Northbound,4,4,Kent Des Moines,,47.3541,-122.2988
Light rail,Rail W,LED206,1,Northbound,5,5,,,,
Light rail,Rail W,LED207,1,Northbound,6,6,Angle Lake,,47.381,-122.2978
Light rail,Rail W,LED208,1,Northbound,7,7,,,,
Light rail,Rail W,LED209,1,Northbound,8,8,SeaTac / Airport,,47.4446,-122.2962
Light rail,Rail W,LED210,1,Northbound,9,9,,,,
Light rail,Rail W,LED211,1,Northbound,10,10,Tukwila Intl. Blvd.,,47.4618,-122.2884
Light rail,Rail W,LED212,1,Northbound,11,11,,,,
Light rail,Rail W,LED213,1,Northbound,12,12,Rainier Beach,,47.5222,-122.2793
Light rail,Rail W,LED214,1,Northbound,13,13,,,,
Light rail,Rail W,LED215,1,Northbound,14,14,Othello,,47.5382,-122.2816
Light rail,Rail W,LED216,1,Northbound,15,15,,,,
Light rail,Rail W,LED217,1,Northbound,16,16,Columbia City,,47.559,-122.292
Light rail,Rail W,LED218,1,Northbound,17,17,,,,
Light rail,Rail W,LED219,1,Northbound,18,18,Mount Baker,,47.5764,-122.2976
Light rail,Rail W,LED220,1,Northbound,19,19,,,,
Light rail,Rail W,LED221,1,Northbound,20,20,Beacon Hill,,47.5793,-122.3115
Light rail,Rail W,LED222,1,Northbound,21,21,,,,
Light rail,Rail W,LED223,1,Northbound,22,22,Sodo,,47.5809,-122.3275
Light rail,Rail W,LED224,1,Northbound,23,23,,,,
Light rail,Rail W,LED225,1,Northbound,24,24,Stadium,,47.5913,-122.3271
Light rail,Rail W,LED226,1,Northbound,25,25,,,,
Light rail,Rail W,LED227,1,Northbound,26,26,Intl. District / Chinatown,,47.598,-122.3278
Light rail,Rail W,LED228,1,Northbound,27,27,,,,
Light rail,Rail W,LED229,1,Northbound,28,28,Pioneer Square,,47.6024,-122.3313
Light rail,Rail W,LED230,1,Northbound,29,29,,,,
Light rail,Rail W,LED231,1,Northbound,30,30,Symphony,,47.6089,-122.3379
Light rail,Rail W,LED232,1,Northbound,31,31,,,,
Light rail,Rail W,LED233,1,Northbound,32,32,Westlake,,47.6115,-122.3371
Light rail,Rail W,LED234,1,Northbound,33,33,,,,
Light rail,Rail W,LED235,1,Northbound,34,34,Capitol Hill,,47.6194,-122.3209
Light rail,Rail W,LED236,1,Northbound,35,35,,,,
Light rail,Rail W,LED237,1,Northbound,36,36,University of Washington,,47.6497,-122.3038
Light rail,Rail W,LED238,1,Northbound,37,37,,,,
Light rail,Rail W,LED239,1,Northbound,38,38,U District,,47.6613,-122.3155
Light rail,Rail W,LED240,1,Northbound,39,39,,,,
Light rail,Rail W,LED241,1,Northbound,40,40,Roosevelt,,47.6768,-122.3169
Light rail,Rail W,LED242,1,Northbound,41,41,,,,
Light rail,Rail W,LED243,1,Northbound,42,42,Northgate,,47.7012,-122.3271
Light rail,Rail W,LED244,1,Northbound,43,43,,,,
Light rail,Rail W,LED245,1,Northbound,44,44,Pinehurst/NE 130th St,,47.7155,-122.3196
Light rail,Rail W,LED246,1,Northbound,45,45,,,,
Light rail,Rail W,LED247,1,Northbound,46,46,Shoreline South/148th,,47.7335,-122.3177
Light rail,Rail W,LED248,1,Northbound,47,47,,,,
Light rail,Rail W,LED249,1,Northbound,48,48,Shoreline North/185th,,47.7554,-122.3162
Light rail,Rail W,LED250,1,Northbound,49,49,,,,
Light rail,Rail W,LED251,1,Northbound,50,50,Mountlake Terrace,,47.7877,-122.3095
Light rail,Rail W,LED252,1,Northbound,51,51,,,,
Light rail,Rail W,LED253,1,Northbound,52,52,Lynnwood City Center,,47.8147,-122.2953
Light rail,Rail W,LED601,1,Southbound,0,53,Lynnwood City Center,,47.8147,-122.2953
Light rail,Rail W,LED602,1,Southbound,1,54,,,,
Light rail,Rail W,LED603,1,Southbound,2,55,Mountlake Terrace,,47.7877,-122.3095
Light rail,Rail W,LED604,1,Southbound,3,56,,,,
Light rail,Rail W,LED605,1,Southbound,4,57,Shoreline North/185th,,47.7554,-122.3162
Light rail,Rail W,LED606,1,Southbound,5,58,,,,
Light rail,Rail W,LED607,1,Southbound,6,59,Shoreline South/148th,,47.7335,-122.3177
Light rail,Rail W,LED608,1,Southbound,7,60,,,,
Light rail,Rail W,LED609,1,Southbound,8,61,Pinehurst/NE 130th St,,47.7155,-122.3196
Light rail,Rail W,LED610,1,Southbound,9,62,,,,
Light rail,Rail W,LED611,1,Southbound,10,63,Northgate,,47.7012,-122.3271
Light rail,Rail W,LED612,1,Southbound,11,64,,,,
Light rail,Rail W,LED613,1,Southbound,12,65,Roosevelt,,47.6768,-122.3169
Light rail,Rail W,LED614,1,Southbound,13,66,,,,
Light rail,Rail W,LED615,1,Southbound,14,67,U District,,47.6613,-122.3155
Light rail,Rail W,LED616,1,Southbound,15,68,,,,
Light rail,Rail W,LED617,1,Southbound,16,69,University of Washington,,47.6497,-122.3038
Light rail,Rail W,LED618,1,Southbound,17,70,,,,
